Abbreviation,Reaction,LB (growth with native substrates),UB (growth with native substrates),LB (growth with methane),UB (growth with methane),Notes
ADSL1,dcamp[c] <==> amp[c] + fum[c],0.0,1000,0.0,1000,
ADSS,asp-L[c] + gtp[c] + imp[c] <==> dcamp[c] + gdp[c] + (2) h[c] + pi[c],0.0,1000,0.0,1000,
ALATA_L,akg[c] + ala-L[c] <==> glu-L[c] + pyr[c],-1000.0,1000,-1000.0,1000,
ALATRS,ala-L[c] + atp[c] + trnaala[c] <==> amp[c] + ppi[c] + alatrna[c],0.0,1000,0.0,1000,
APAT2,akg[c] + ala-B[c] <==> glu-L[c] + msa[c],0.0,1000,0.0,1000,
ARGSL,argsuc[c] <==> arg-L[c] + fum[c],-1000.0,1000,-1000.0,1000,
ARGSS,asp-L[c] + atp[c] + citr-L[c] <==> amp[c] + argsuc[c] + h[c] + ppi[c],0.0,1000,0.0,1000,
ASADi,4pasp[c] + h[c] + nadph[c] <==> aspsa[c] + nadp[c] + pi[c],0.0,1000,0.0,1000,
ASNN,asn-L[c] + h2o[c] <==> asp-L[c] + nh4[c],0.0,1000,0.0,1000,
ASNS1,asp-L[c] + atp[c] + gln-L[c] + h2o[c] <==> amp[c] + asn-L[c] + glu-L[c] + h[c] + ppi[c],0.0,1000,0.0,1000,
ASP1DC,asp-L[c] + h[c] <==> ala-B[c] + co2[c],0.0,1000,0.0,1000,
ASPCT,asp-L[c] + cbp[c] <==> cbasp[c] + h[c] + pi[c],0.0,1000,0.0,1000,
ASPKi,asp-L[c] + atp[c] <==> 4pasp[c] + adp[c],0.0,1000,0.0,1000,
ASPTA,akg[c] + asp-L[c] <==> glu-L[c] + oaa[c],-1000.0,1000,-1000.0,1000,
ASPTRS,asp-L[c] + atp[c] + trnaasp[c] <==> amp[c] + ppi[c] + asptrna[c],0.0,1000,0.0,1000,
BAMPPALDOX,bamppald[c] + h2o[c] + nad[c] <==> ala-B[c] + (2) h[c] + nadh[c],0.0,1000,0.0,1000,
HSDy,hom-L[c] + nadp[c] <==> aspsa[c] + h[c] + nadph[c],-1000.0,1000,-1000.0,1000,
PC,atp[c] + hco3[c] + pyr[c] <==> adp[c] + h[c] + oaa[c] + pi[c],0.0,1000,0.0,1000,
2MBCOAS,2mbr[c] + atp[c] + coa[c] <==> 2mbcoa[c] + amp[c] + ppi[c],0.0,1000,0.0,1000,
ACGK,acglu[c] + atp[c] <==> acg5p[c] + adp[c],0.0,1000,0.0,1000,
ACGS,accoa[c] + glu-L[c] <==> acglu[c] + coa[c] + h[c],0.0,1000,0.0,1000,
ACOTA,acg5sa[c] + glu-L[c] <==> acorn[c] + akg[c],-1000.0,1000,-1000.0,1000,
AGPR,acg5p[c] + h[c] + nadph[c] <==> acg5sa[c] + nadp[c] + pi[c],0.0,1000,0.0,1000,
AMPTASECG,cgly[c] + h2o[c] <==> cys-L[c] + gly[c],0.0,1000,0.0,1000,
CHORM,chor[c] <==> pphn[c],0.0,1000,0.0,1000,
DIPS,amet[c] + caphis[c] <==> ahcys[c] + cmaphis[c] + h[c],0.0,1000,0.0,1000,
GLU5K,atp[c] + glu-L[c] <==> adp[c] + glu5p[c],0.0,1000,0.0,1000,
HSDx,hom-L[c] + nad[c] <==> aspsa[c] + h[c] + nadh[c],-1000.0,1000,-1000.0,1000,
METSOXR2,metsox-R-L[c] + trdrd[c] <==> trdox[c] + h2o[c] + met-L[c],0.0,1000,0.0,1000,
OPAH,5oxpro[c] + atp[c] + (2) h2o[c] <==> adp[c] + glu-L[c] + h[c] + pi[c],0.0,1000,0.0,1000,
ORNTAC,acorn[c] + glu-L[c] <==> acglu[c] + orn[c],-1000.0,1000,-1000.0,1000,
PPND,nad[c] + pphn[c] <==> 34hpp[c] + co2[c] + nadh[c],0.0,1000,0.0,1000,
AGMT,agm[c] + h2o[c] <==> ptrc[c] + urea[c],0.0,1000,0.0,1000,
ARGDr,arg-L[c] + h2o[c] <==> citr-L[c] + nh4[c],-1000.0,1000,-1000.0,1000,
ARGTRS,arg-L[c] + atp[c] + trnaarg[c] <==> amp[c] + ppi[c] + argtrna[c],0.0,1000,0.0,1000,
OCBT,cbp[c] + orn[c] <==> citr-L[c] + h[c] + pi[c],0.0,1000,0.0,1000,
ORNCD,orn[c] <==> nh4[c] + pro-L[c],0.0,1000,0.0,1000,
ORNDC,h[c] + orn[c] <==> co2[c] + ptrc[c],0.0,1000,0.0,1000,
P5CRx,nad[c] + pro-L[c] <==> 1pyr5c[c] + (2) h[c] + nadh[c],-1000.0,1000,-1000.0,1000,
P5CRy,nadp[c] + pro-L[c] <==> 1pyr5c[c] + (2) h[c] + nadph[c],-1000.0,1000,-1000.0,1000,
PROTRS,atp[c] + pro-L[c] + trnapro[c] <==> amp[c] + ppi[c] + protrna[c],0.0,1000,0.0,1000,
R01986,4abutn[c] + h2o[c] + nadp[c] <==> 4abut[c] + (2) h[c] + nadph[c],0.0,1000,0.0,1000,
R02549,4abutn[c] + h2o[c] + nad[c] <==> 4abut[c] + (2) h[c] + nadh[c],0.0,1000,0.0,1000,
G5SADr,glu5sa[c] <==> 1pyr5c[c] + h[c] + h2o[c],0.0,1000,0.0,1000,
G5SD2,glu5p[c] + h[c] + nadh[c] <==> glu5sa[c] + nad[c] + pi[c],0.0,1000,0.0,1000,
AKSCAL,2ood[c] + accoa[c] + h2o[c] <==> glyc-R[c] + pmcoa[c],0.0,1000,0.0,1000,
ACONMT,amet[c] + acon-T[c] <==> ahcys[c] + aconm[c],0.0,1000,0.0,1000,
ACYP_2,actp[c] + h2o[c] <==> ac[c] + h[c] + pi[c],0.0,1000,0.0,1000,
ADPRDP,adprib[c] + h2o[c] <==> amp[c] + (2) h[c] + r5p[c],0.0,1000,0.0,1000,
AH6PI,ah6p-D[c] <==> f6p[c],-1000.0,1000,-1000.0,1000,
AIRCr,air[c] + co2[c] <==> 5aizc[c] + h[c],-1000.0,1000,-1000.0,1000,
ALCD19x,glyald[c] + h[c] + nadh[c] <==> glyc[c] + nad[c],0.0,1000,0.0,1000,
ALCD19y,glyald[c] + h[c] + nadph[c] <==> glyc[c] + nadp[c],0.0,1000,0.0,1000,
ALCD20x,nad[c] + 2ppoh[c] <==> h[c] + nadh[c] + acetone[c],-1000.0,1000,-1000.0,1000,
ALCD20y,nadp[c] + 2ppoh[c] <==> h[c] + nadph[c] + acetone[c],-1000.0,1000,-1000.0,1000,
ALCD22_L_f420_,lald-L[c] + f420-2[c] + h[c] <==> mthgxl[c] + f420-2h2[c],-1000.0,1000,-1000.0,1000,
ALCD2x,etoh[c] + nad[c] <==> acald[c] + h[c] + nadh[c],-1000.0,1000,-1000.0,1000,
ALCD2y,etoh[c] + nadp[c] <==> acald[c] + h[c] + nadph[c],-1000.0,1000,-1000.0,1000,
ALDD1,fald[c] + h2o[c] + nad[c] <==> for[c] + (2) h[c] + nadh[c],0.0,1000,0.0,1000,
ALDD2x,acald[c] + h2o[c] + nad[c] <==> ac[c] + (2) h[c] + nadh[c],0.0,1000,0.0,1000,
ALR2_f420_,mthgxl[c] + f420-2h2[c] <==> f420-2[c] + acetol[c] + h[c],0.0,1000,0.0,1000,
CTPRIBFLVTX,ctp[c] + ribflv[c] <==> cdp[c] + fmn[c] + h[c],0.0,1000,0.0,1000,
DGLY3POX,(2) fdox[c] + g3p[c] + h2o[c] <==> 3pg[c] + (2) fdred[c] + (3) h[c],0.0,1000,0.0,1000,
DKFPS2,mthgxl[c] + fdp[c] <==> dkfp[c] + g3p[c],-1000.0,1000,-1000.0,1000,
DKFPS3,f1p[c] + mthgxl[c] <==> dkfp[c] + gald[c],0.0,1000,0.0,1000,
DRBK,atp[c] + drib[c] <==> 2dr5p[c] + adp[c] + h[c],0.0,1000,0.0,1000,
FBA2,f1p[c] <==> dhap[c] + glyald[c],-1000.0,1000,-1000.0,1000,
FBP2,fdp[c] + h2o[c] <==> pi[c] + f1p[c],0.0,1000,0.0,1000,
FCLPA,fc1p[c] <==> dhap[c] + lald-L[c],0.0,1000,0.0,1000,
GALT,gal1p[c] + h[c] + utp[c] <==> ppi[c] + udpgal[c],0.0,1000,0.0,1000,
GALUi,g1p[c] + h[c] + utp[c] <==> ppi[c] + udpg[c],-1000.0,1000,-1000.0,1000,
GCALDDr,gcald[c] + h2o[c] + nad[c] <==> glyclt[c] + (2) h[c] + nadh[c],0.0,1000,0.0,1000,
GLCGSD,h2o[c] + glycogen[c] <==> glc-D[c],0.0,1000,0.0,1000,
GLCP,pi[c] + glycogen[c] <==> g1p[c],0.0,1000,0.0,1000,
GLCS2,udpg[c] <==> h[c] + udp[c] + glycogen[c],0.0,1000,0.0,1000,
GLXO1,h2o[c] + nad[c] + glx[c] <==> nadh[c] + (2) h[c] + oxa[c],0.0,1000,0.0,1000,
GLYALDOX,(2) fdox[c] + glyald[c] + h2o[c] <==> (2) fdred[c] + glyc-R[c] + (3) h[c],0.0,1000,0.0,1000,
GMAND,gdpmann[c] <==> gdpddman[c] + h2o[c],0.0,1000,0.0,1000,
HEX7,atp[c] + fru[c] <==> adp[c] + f6p[c] + h[c],0.0,1000,0.0,1000,
HSPMS,(2) ptrc[c] <==> hspmd[c] + nh4[c],0.0,1000,0.0,1000,
INS2D,inost[c] + nad[c] <==> h[c] + nadh[c] + 2ins[c],0.0,1000,0.0,1000,
MAN1PT,gtp[c] + h[c] + man1p[c] <==> gdpmann[c] + ppi[c],0.0,1000,0.0,1000,
MAN1PT2r,gdp[c] + h[c] + man1p[c] <==> gdpmann[c] + pi[c],0.0,1000,0.0,1000,
MAN6PI,man6p[c] <==> f6p[c],-1000.0,1000,-1000.0,1000,
ME1_rev,mal-L[c] + nad[c] <==> co2[c] + nadh[c] + pyr[c],-1000.0,1000,-1000.0,1000,
ME2,mal-L[c] + nadp[c] <==> co2[c] + nadph[c] + pyr[c],0.0,1000,0.0,1000,
MGSA2,g3p[c] <==> mthgxl[c] + pi[c],0.0,1000,0.0,1000,
MI3PP,h2o[c] + mi3p-D[c] <==> inost[c] + pi[c],0.0,1000,0.0,1000,
PGLYCP,2pglyc[c] + h2o[c] <==> glyclt[c] + pi[c],0.0,1000,0.0,1000,
PGMT,g1p[c] <==> g6p[c],-1000.0,1000,-1000.0,1000,
PMANM,man6p[c] <==> man1p[c],-1000.0,1000,-1000.0,1000,
POR2,accoa[c] + co2[c] + (2) fdred[c] + h[c] <==> coa[c] + (2) fdox[c] + pyr[c],-1000.0,1000,-1000.0,1000,
POR3,co2[c] + (2) fdred[c] + h[c] + ppcoa[c] <==> 2obut[c] + coa[c] + (2) fdox[c],0.0,1000,-1000.0,1000,
PPA,h2o[c] + ppi[c] <==> h[c] + (2) pi[c],0.0,1000,0.0,1000,
PPA2,h2o[c] + pppi[c] <==> h[c] + pi[c] + ppi[c],0.0,1000,0.0,1000,
PPAKr,adp[c] + ppap[c] <==> atp[c] + ppa[c],0.0,1000,0.0,1000,
PPDK,atp[c] + pi[c] + pyr[c] <==> amp[c] + h[c] + pep[c] + ppi[c],0.0,1000,0.0,1000,
PYDXS,gln-L[c] + g3p[c] + r5p[c] <==> (3) h2o[c] + pi[c] + pydx5p[c] + glu-L[c] + h[c],0.0,1000,0.0,1000,
PYRFALDC,pyr[c] + fald[c] + h[c] <==> acetol[c] + co2[c],0.0,1000,0.0,1000,
R00430,gdp[c] + pep[c] + h[c] <==> gtp[c] + pyr[c],0.0,1000,0.0,1000,
RBK,atp[c] + rib-D[c] <==> adp[c] + h[c] + r5p[c],0.0,1000,0.0,1000,
RBPC,co2[c] + h2o[c] + rb15bp[c] <==> (2) 3pg[c] + (2) h[c],-1000.0,1000,-1000.0,1000,
RU5PS,fald[c] + ru5p-D[c] <==> ah6p-D[c],-1000.0,1000,-1000.0,1000,
UAG4E,uacgam[c] <==> udpacgal[c],0.0,1000,0.0,1000,
UDPG4E,udpg[c] <==> udpgal[c],-1000.0,1000,-1000.0,1000,
UDPGDr,h2o[c] + (2) nad[c] + udpg[c] <==> (3) h[c] + (2) nadh[c] + udpglcur[c],-1000.0,1000,-1000.0,1000,
VOR,3mob[c] + coa[c] + (2) fdox[c] <==> co2[c] + (2) fdred[c] + ibcoa[c] + h[c],0.0,1000,0.0,1000,
ACONTa,cit[c] <==> icit[c],-1000.0,1000,-1000.0,1000,
CS,cit[c] + coa[c] + h[c] <==> accoa[c] + h2o[c] + oaa[c],-1000.0,1000,-1000.0,1000,
FUM,mal-L[c] <==> fum[c] + h2o[c],-1000.0,1000,-1000.0,1000,
ICITRED,icit[c] + nadp[c] <==> co2[c] + nadph[c] + akg[c],-1000.0,1000,-1000.0,1000,
MDH,mal-L[c] + nad[c] <==> h[c] + nadh[c] + oaa[c],-1000.0,1000,-1000.0,1000,
OORr,akg[c] + coa[c] + (2) fdox[c] <==> co2[c] + (2) fdred[c] + succoa[c] + h[c],0.0,1000,0.0,1000,
PPC,co2[c] + h2o[c] + pep[c] <==> h[c] + oaa[c] + pi[c],0.0,1000,0.0,1000,
ACCOAL2r,atp[c] + coa[c] + ppa[c] <==> adp[c] + pi[c] + ppcoa[c],0.0,1000,-1000.0,1000,
DPCOAK,atp[c] + dpcoa[c] <==> adp[c] + coa[c] + h[c],0.0,1000,0.0,1000,
DPR,h[c] + nadph[c] + 2dhp[c] <==> nadp[c] + pant-R[c],0.0,1000,0.0,1000,
MOHMT,3mob[c] + h2o[c] + mlthf[c] <==> thf[c] + 2dhp[c],0.0,1000,0.0,1000,
POK,atp[c] + pant-R[c] <==> adp[c] + ppant-R[c] + h[c],0.0,1000,0.0,1000,
PPCDC,4ppcys[c] + h[c] <==> co2[c] + pan4p[c],0.0,1000,0.0,1000,
PPNCL2,4ppan[c] + ctp[c] + cys-L[c] <==> 4ppcys[c] + cmp[c] + h[c] + ppi[c],0.0,1000,0.0,1000,
PPTS,ppant-R[c] + ala-B[c] + atp[c] <==> amp[c] + ppi[c] + h[c] + 4ppan[c],0.0,1000,0.0,1000,
PTPATi,atp[c] + h[c] + pan4p[c] <==> dpcoa[c] + ppi[c],-1000.0,1000,-1000.0,1000,
7MHS,7ohp[c] + cys-L[c] + h[c] + nadh[c] <==> 7mhp[c] + nad[c] + ser-L[c],0.0,1000,0.0,1000,
7MHTS,7mhp[c] + atp[c] + thr-L[c] <==> 7mht[c] + adp[c] + h[c] + pi[c],0.0,1000,0.0,1000,
AKACAL,accoa[c] + h2o[c] + ohexa[c] <==> Rh2cit[c] + coa[c] + h[c],0.0,1000,0.0,1000,
AKGCAL,accoa[c] + akg[c] <==> coa[c] + h[c] + hacon-T[c],0.0,1000,0.0,1000,
AKPCAL,accoa[c] + h2o[c] + ohepa[c] <==> Rh3cit[c] + coa[c] + h[c],0.0,1000,0.0,1000,
AKSDC,2ood[c] + h[c] <==> 7ohp[c] + co2[c],0.0,1000,0.0,1000,
CH2ACH,h2acon-C[c] + h2o[c] <==> tih2cit[c],-1000.0,1000,-1000.0,1000,
CH3ACH,h2o[c] + h3acon-C[c] <==> tih3cit[c],-1000.0,1000,-1000.0,1000,
CHACH,h2o[c] + hacon-C[c] <==> ihcit-T[c],-1000.0,1000,-1000.0,1000,
COBS,7mht[c] + atp[c] <==> adp[c] + cob[c] + h[c],0.0,1000,0.0,1000,
RH2CD,Rh2cit[c] <==> h2acon-C[c] + h2o[c],-1000.0,1000,-1000.0,1000,
RH3CD,Rh3cit[c] <==> h2o[c] + h3acon-C[c],-1000.0,1000,-1000.0,1000,
SHCD,Shcit[c] <==> h2o[c] + hacon-C[c],-1000.0,1000,-1000.0,1000,
THACH,h2o[c] + hacon-T[c] <==> Shcit[c],-1000.0,1000,-1000.0,1000,
TIH2CD,nad[c] + tih2cit[c] <==> co2[c] + nadh[c] + ohepa[c],0.0,1000,0.0,1000,
TIH3CD,nad[c] + tih3cit[c] <==> 2ood[c] + co2[c] + nadh[c],0.0,1000,0.0,1000,
TIHCD,ihcit-T[c] + nad[c] <==> co2[c] + nadh[c] + ohexa[c],0.0,1000,0.0,1000,
COMS,h2o[c] + sec[c] <==> com[c] + nh4[c] + pyr[c],0.0,1000,0.0,1000,
LCYSTAT,Lcyst[c] + akg[c] <==> 3spyr[c] + glu-L[c],-1000.0,1000,-1000.0,1000,
LCYSTS,pser-L[c] + so3[c] + h[c] <==> Lcyst[c] + pi[c],0.0,1000,0.0,1000,
SECS,2tcc[c] + h[c] + nadh[c] <==> nad[c] + sec[c],0.0,1000,0.0,1000,
SMTZS,2saa[c] + cys-L[c] <==> 2tcc[c] + h2o[c],0.0,1000,0.0,1000,
SPDC,3spyr[c] + h[c] <==> 2saa[c] + co2[c],0.0,1000,0.0,1000,
ACSERHS,acser[c] + trdrd[c] + tsul[c] <==> ac[c] + cys-L[c] + h[c] + so3[c] + trdox[c],0.0,1000,0.0,1000,
ADSK,atp[c] + aps[c] <==> adp[c] + h[c] + paps[c],0.0,1000,0.0,1000,
CYSDS,cys-L[c] + h2o[c] <==> h2s[c] + nh4[c] + pyr[c],0.0,1000,0.0,1000,
CYSSr,acser[c] + h2s[c] <==> ac[c] + cys-L[c] + h[c],0.0,1000,0.0,1000,
CYSTA,akg[c] + cys-L[c] <==> glu-L[c] + mercppyr[c],0.0,1000,0.0,1000,
CYSTRS,atp[c] + cys-L[c] + trnacys[c] <==> amp[c] + ppi[c] + cystrna[c],0.0,1000,0.0,1000,
PAPSR,paps[c] + trdrd[c] <==> (2) h[c] + pap[c] + so3[c] + trdox[c],0.0,1000,0.0,1000,
R01411,5mcyt[c] + h2o[c] + h[c] <==> nh4[c] + thym[c],0.0,1000,0.0,1000,
SADT2,atp[c] + gtp[c] + h2o[c] + so4[c] <==> aps[c] + gdp[c] + pi[c] + ppi[c],0.0,1000,0.0,1000,
SERAT,accoa[c] + ser-L[c] <==> acser[c] + coa[c],-1000.0,1000,-1000.0,1000,
SHSL2r,h2s[c] + suchms[c] <==> h[c] + hcys-L[c] + succ[c],0.0,1000,0.0,1000,
ABTA,4abut[c] + akg[c] <==> glu-L[c] + sucsal[c],-1000.0,1000,-1000.0,1000,
ARGDC,arg-L[c] + h[c] <==> agm[c] + co2[c],0.0,1000,0.0,1000,
CBPS,(2) atp[c] + gln-L[c] + h2o[c] + hco3[c] <==> (2) adp[c] + cbp[c] + glu-L[c] + (2) h[c] + pi[c],0.0,1000,0.0,1000,
GF6PTA,f6p[c] + gln-L[c] <==> gam6p[c] + glu-L[c],0.0,1000,0.0,1000,
GLUDC,glu-L[c] + h[c] <==> 4abut[c] + co2[c],0.0,1000,0.0,1000,
GLUDxi,akg[c] + h[c] + nadh[c] + nh4[c] <==> glu-L[c] + h2o[c] + nad[c],0.0,1000,0.0,1000,
GLUDyi,akg[c] + h[c] + nadph[c] + nh4[c] <==> glu-L[c] + h2o[c] + nadp[c],0.0,1000,0.0,1000,
GLUPRT,gln-L[c] + h2o[c] + prpp[c] <==> glu-L[c] + ppi[c] + pram[c],0.0,1000,0.0,1000,
GLUS_F420_,akg[c] + f420-2h2[c] + gln-L[c] <==> f420-2[c] + (2) glu-L[c] + h[c],0.0,1000,0.0,1000,
GLUTRS,atp[c] + glu-L[c] + trnaglu[c] <==> amp[c] + glutrna[c] + ppi[c],0.0,1000,0.0,1000,
GLUTRS_Gln_,atp[c] + glu-L[c] + trnagln[c] <==> amp[c] + ppi[c] + glutrna_gln[c],0.0,1000,0.0,1000,
GTHOr,gthox[c] + h[c] + nadph[c] <==> (2) gthrd[c] + nadp[c],0.0,1000,0.0,1000,
SSALx,h2o[c] + nad[c] + sucsal[c] <==> (2) h[c] + nadh[c] + succ[c],0.0,1000,0.0,1000,
SSALy,h2o[c] + nadp[c] + sucsal[c] <==> (2) h[c] + nadph[c] + succ[c],0.0,1000,0.0,1000,
GLNS,atp[c] + glu-L[c] + nh4[c] <==> adp[c] + gln-L[c] + h[c] + pi[c],0.0,1000,0.0,1000,
GLNTRAT,atp[c] + gln-L[c] + h2o[c] + glutrna_gln[c] <==> adp[c] + glu-L[c] + h[c] + pi[c] + glntrna[c],0.0,1000,0.0,1000,
GMPS2,atp[c] + gln-L[c] + h2o[c] + xmp[c] <==> amp[c] + glu-L[c] + gmp[c] + (2) h[c] + ppi[c],0.0,1000,0.0,1000,
NADS1,atp[c] + dnad[c] + nh4[c] <==> amp[c] + h[c] + nad[c] + ppi[c],0.0,1000,0.0,1000,
NADS2,atp[c] + dnad[c] + gln-L[c] + h2o[c] <==> amp[c] + glu-L[c] + h[c] + nad[c] + ppi[c],0.0,1000,0.0,1000,
GHMT2,gly[c] + h2o[c] + mlthf[c] <==> ser-L[c] + thf[c],-1000.0,1000,-1000.0,1000,
GLYTRS,atp[c] + gly[c] + trnagly[c] <==> amp[c] + ppi[c] + glytrna[c],0.0,1000,0.0,1000,
PGCD,3pg[c] + nad[c] <==> 3php[c] + h[c] + nadh[c],-1000.0,1000,-1000.0,1000,
PSERT,akg[c] + pser-L[c] <==> 3php[c] + glu-L[c],-1000.0,1000,-1000.0,1000,
PSP_L,h2o[c] + pser-L[c] <==> pi[c] + ser-L[c],0.0,1000,0.0,1000,
R08576,pser-L[c] + trnacys[c] + atp[c] <==> cystrna_pser[c] + amp[c] + ppi[c],0.0,1000,0.0,1000,
SERTRS,atp[c] + ser-L[c] + trnaser[c] <==> amp[c] + ppi[c] + sertrna[c],0.0,1000,0.0,1000,
ACYP,13dpg[c] + h2o[c] <==> 3pg[c] + h[c] + pi[c],0.0,1000,0.0,1000,
ENO,2pg[c] <==> h2o[c] + pep[c],-1000.0,1000,-1000.0,1000,
FBA,fdp[c] <==> dhap[c] + g3p[c],-1000.0,1000,-1000.0,1000,
FBP,fdp[c] + h2o[c] <==> f6p[c] + pi[c],0.0,1000,0.0,1000,
GAPD,g3p[c] + nad[c] + pi[c] <==> 13dpg[c] + h[c] + nadh[c],-1000.0,1000,-1000.0,1000,
GK_adp_,adp[c] + glc-D[c] <==> amp[c] + g6p[c] + h[c],0.0,1000,0.0,1000,
PFK_adp_,adp[c] + f6p[c] <==> amp[c] + fdp[c] + h[c],0.0,1000,0.0,1000,
PGI,g6p[c] <==> f6p[c],-1000.0,1000,-1000.0,1000,
PGK,3pg[c] + atp[c] <==> 13dpg[c] + adp[c],-1000.0,1000,-1000.0,1000,
PGM,2pg[c] <==> 3pg[c],-1000.0,1000,-1000.0,1000,
PPS,atp[c] + h2o[c] + pyr[c] <==> amp[c] + (2) h[c] + pep[c] + pi[c],0.0,1000,0.0,1000,
PYK,adp[c] + h[c] + pep[c] <==> atp[c] + pyr[c],0.0,1000,0.0,1000,
PYRDC,h[c] + pyr[c] <==> acald[c] + co2[c],0.0,1000,0.0,1000,
TPI,g3p[c] <==> dhap[c],-1000.0,1000,-1000.0,1000,
ATPPRT,ppi[c] + prbatp[c] <==> atp[c] + prpp[c],-1000.0,1000,-1000.0,1000,
HISTD,h2o[c] + histd[c] + (2) nad[c] <==> (3) h[c] + his-L[c] + (2) nadh[c],0.0,1000,0.0,1000,
HISTP,h2o[c] + hisp[c] <==> histd[c] + pi[c],0.0,1000,0.0,1000,
HISTRS,atp[c] + his-L[c] + trnahis[c] <==> amp[c] + ppi[c] + histrna[c],0.0,1000,0.0,1000,
HSTPT,akg[c] + hisp[c] <==> glu-L[c] + imacp[c],-1000.0,1000,-1000.0,1000,
IG3PS,gln-L[c] + prlp[c] <==> aicar[c] + eig3p[c] + glu-L[c] + h[c],0.0,1000,0.0,1000,
IGPDH,eig3p[c] <==> h2o[c] + imacp[c],0.0,1000,0.0,1000,
NBAHH,carn[c] + h2o[c] <==> ala-B[c] + his-L[c] + h[c],0.0,1000,0.0,1000,
