Abbreviation,Reaction,LB (growth with native substrates),UB (growth with native substrates),LB (growth with methane),UB (growth with methane),Notes
PRAMPC,h2o[c] + prbamp[c] <==> prfp[c],0.0,1000,0.0,1000,
PRATPP,h2o[c] + prbatp[c] <==> h[c] + ppi[c] + prbamp[c],0.0,1000,0.0,1000,
PRMICIi,prfp[c] <==> prlp[c],0.0,1000,0.0,1000,
PRPPS,atp[c] + r5p[c] <==> amp[c] + h[c] + prpp[c],-1000.0,1000,-1000.0,1000,
RPI,r5p[c] <==> ru5p-D[c],-1000.0,1000,-1000.0,1000,
ACACT1,(2) accoa[c] <==> aacoa[c] + coa[c],-1000.0,1000,-1000.0,1000,
ACNPLYS,acnam[c] + pi[c] <==> h2o[c] + pep[c] + acmana[c],-1000.0,1000,-1000.0,1000,
AGAIAGT,dpgpi[c] + uacgam[c] <==> agdpgpi[c] + h[c] + udp[c],0.0,1000,0.0,1000,
AGAID,agdpgpi[c] + h2o[c] <==> ac[c] + gdpgpi[c],0.0,1000,0.0,1000,
ASD,dpgps[c] + h[c] <==> co2[c] + dpgpe[c],0.0,1000,0.0,1000,
ATGH,dggpg[c] + (8) h[c] + (8) nadph[c] <==> dpgpg[c] + (8) nadp[c],0.0,1000,0.0,1000,
ATIH,dggpi[c] + (8) h[c] + (8) nadph[c] <==> dpgpi[c] + (8) nadp[c],0.0,1000,0.0,1000,
ATSH,dgggps[c] + (8) h[c] + (8) nadph[c] <==> dpgps[c] + (8) nadp[c],0.0,1000,0.0,1000,
CDGGGPP3,cdgggp[c] + glyc1p[c] <==> cmp[c] + dggpgp[c] + h[c],0.0,1000,0.0,1000,
CDGGGPP4,3hcdgggp[c] + glyc1p[c] <==> 3hdggpgp[c] + cmp[c] + h[c],0.0,1000,0.0,1000,
CDGGGS,ctp[c] + dgggp[c] + h[c] <==> cdgggp[c] + ppi[c],0.0,1000,0.0,1000,
CDGGGS2,3hdgggp[c] + ctp[c] + h[c] <==> 3hcdgggp[c] + ppi[c],0.0,1000,0.0,1000,
CDGGGSAT,cdgggp[c] + ser-L[c] <==> cmp[c] + dgggps[c] + h[c],0.0,1000,0.0,1000,
CDGGGSAT2,3hcdgggp[c] + ser-L[c] <==> 3hdgggps[c] + cmp[c] + h[c],0.0,1000,0.0,1000,
CDGGIPT,cdgggp[c] + inost[c] <==> cmp[c] + dggpi[c] + h[c],0.0,1000,0.0,1000,
CDGGIPT2,3hcdgggp[c] + inost[c] <==> 3hdggpi[c] + cmp[c] + h[c],0.0,1000,0.0,1000,
DGGGPS,ggdp[c] + gggp[c] <==> dgggp[c] + ppi[c],0.0,1000,0.0,1000,
DGGGPS2,3hggdp[c] + gggp[c] <==> 3hdgggp[c] + ppi[c],0.0,1000,0.0,1000,
DGGPGP,dggpgp[c] + h2o[c] <==> dggpg[c] + pi[c],0.0,1000,0.0,1000,
DGGPGP2,3hdggpgp[c] + h2o[c] <==> 3hdggpg[c] + pi[c],0.0,1000,0.0,1000,
DGLYOX,glyald[c] + h2o[c] + nad[c] <==> glyc-R[c] + (2) h[c] + nadh[c],0.0,1000,0.0,1000,
DMATT,dmpp[c] + ipdp[c] <==> grdp[c] + ppi[c],0.0,1000,0.0,1000,
DMATT2,ipdp[c] + m3hdp[c] <==> 3hgrdp[c] + ppi[c],0.0,1000,0.0,1000,
FRTT,frdp[c] + ipdp[c] <==> ggdp[c] + ppi[c],0.0,1000,0.0,1000,
FRTT2,3hfrdp[c] + ipdp[c] <==> 3hggdp[c] + ppi[c],0.0,1000,0.0,1000,
G1PACT,accoa[c] + gam1p[c] <==> acgam1p[c] + coa[c] + h[c],0.0,1000,0.0,1000,
G1PDH,glyc1p[c] + nad[c] <==> dhap[c] + h[c] + nadh[c],-1000.0,1000,-1000.0,1000,
G1PTT,dttp[c] + g1p[c] + h[c] <==> dtdpglu[c] + ppi[c],0.0,1000,0.0,1000,
GALTNS,udpgal[c] <==> galactan[c] + h[c] + udp[c],0.0,1000,0.0,1000,
GGDPRED,ggdp[c] + (3) h[c] + (3) nadph[c] <==> (3) nadp[c] + phydp[c],0.0,1000,0.0,1000,
GGGPS,ggdp[c] + glyc1p[c] <==> gggp[c] + ppi[c],0.0,1000,0.0,1000,
GLYCDx,glyc[c] + nad[c] <==> dha[c] + h[c] + nadh[c],0.0,1000,0.0,1000,
GRTT,grdp[c] + ipdp[c] <==> frdp[c] + ppi[c],0.0,1000,0.0,1000,
GRTT2,3hgrdp[c] + ipdp[c] <==> 3hfrdp[c] + ppi[c],0.0,1000,0.0,1000,
HASD,3hdpgps[c] + h[c] <==> 3hdpgpe[c] + co2[c],0.0,1000,0.0,1000,
HATGH,3hdggpg[c] + (7) h[c] + (7) nadph[c] <==> 3hdpgpg[c] + (7) nadp[c],0.0,1000,0.0,1000,
HATIH,3hdggpi[c] + (7) h[c] + (7) nadph[c] <==> 3hdpgpi[c] + (7) nadp[c],0.0,1000,0.0,1000,
HATSH,3hdgggps[c] + (7) h[c] + (7) nadph[c] <==> 3hdpgps[c] + (7) nadp[c],0.0,1000,0.0,1000,
HBZOPT,4hbz[c] + octdp[c] <==> 3ophb[c] + ppi[c],0.0,1000,0.0,1000,
HMGCOARi,(2) h[c] + hmgcoa[c] + (2) nadph[c] <==> coa[c] + mev-R[c] + (2) nadp[c],0.0,1000,0.0,1000,
HMGCOASi,aacoa[c] + accoa[c] + h2o[c] <==> coa[c] + h[c] + hmgcoa[c],0.0,1000,0.0,1000,
IPDPH,ipdp[c] + h2o[c] <==> m3hdp[c],-1000.0,1000,-1000.0,1000,
IPPK,ipp[c] + atp[c] <==> adp[c] + ipdp[c],0.0,1000,0.0,1000,
MEVK1,atp[c] + mev-R[c] <==> 5pmev[c] + adp[c] + h[c],0.0,1000,0.0,1000,
OCTDPSYN,hepdp[c] + ipdp[c] <==> octdp[c] + ppi[c],0.0,1000,0.0,1000,
PGAMS,uacgam[c] <==> polyacgal[c] + h[c] + udp[c],0.0,1000,0.0,1000,
PGAMT,gam6p[c] <==> gam1p[c],0.0,1000,0.0,1000,
PGLCURS,udpglcur[c] <==> polyglcur[c] + h[c] + udp[c],0.0,1000,0.0,1000,
PMVD,5pmev[c] + h[c] <==> co2[c] + h2o[c] + ipp[c],0.0,1000,0.0,1000,
R04215,ctp[c] + glnam[c] <==> glnamcmp[c] + ppi[c],0.0,1000,0.0,1000,
R05680,glyc1p[c] + nadp[c] <==> dhap[c] + h[c] + nadph[c],0.0,1000,0.0,1000,
TDPDRE,dtdp4d6dg[c] <==> dtdp4d6dm[c],0.0,1000,0.0,1000,
TDPDRR,dtdp4d6dm[c] + h[c] + nadph[c] <==> dtdprmn[c] + nadp[c],0.0,1000,0.0,1000,
TDPGDH,dtdpglu[c] <==> dtdp4d6dg[c] + h2o[c],0.0,1000,0.0,1000,
UAG2EMA,h2o[c] + uacgam[c] <==> h[c] + udp[c] + acmana[c],0.0,1000,0.0,1000,
UAGDP,acgam1p[c] + h[c] + utp[c] <==> ppi[c] + uacgam[c],0.0,1000,0.0,1000,
MFRBS,4gggaepmamfr[c] + glu-L[c] <==> mfr_b[c] + h2o[c],0.0,1000,0.0,1000,
MFRS1,dhap[c] + pep[c] + h2o[c] <==> mfrbi1[c],0.0,1000,0.0,1000,
MFRS10,4gaepmamfr[c] + glu-L[c] <==> 4ggaepmamfr[c] + h2o[c],0.0,1000,0.0,1000,
MFRS11,4ggaepmamfr[c] + glu-L[c] <==> 4gggaepmamfr[c] + h2o[c],0.0,1000,0.0,1000,
MFRS2,mfrbi1[c] <==> mfrbi2[c] + pi[c],0.0,1000,0.0,1000,
MFRS3,mfrbi2[c] <==> mfrbi3[c] + h2o[c],0.0,1000,0.0,1000,
MFRS4,mfrbi3[c] <==> mfrbi4[c],0.0,1000,0.0,1000,
MFRS5,mfrbi4[c] <==> 24sf[c] + h2o[c],0.0,1000,0.0,1000,
MFRS6,24sf[c] + atp[c] + nadh[c] + h[c] <==> 2frald[c] + adp[c] + pi[c] + nad[c],0.0,1000,0.0,1000,
MFRS7,2frald[c] + glu-L[c] <==> 2mafr[c] + akg[c],0.0,1000,0.0,1000,
MFRS8,tym[c] + 2mafr[c] <==> aepmamfr[c] + pi[c],0.0,1000,0.0,1000,
MFRS9,aepmamfr[c] + glu-L[c] <==> 4gaepmamfr[c] + h2o[c],0.0,1000,0.0,1000,
TYRCBOX,h[c] + tyr-L[c] <==> co2[c] + tym[c],0.0,1000,0.0,1000,
ACKr,ac[c] + atp[c] <==> actp[c] + adp[c],-1000.0,1000,-1000.0,1000,
ATPS4r,(1) h[e] + (3) na1[e] + adp[c] + pi[c] <==> (0) h[c] + (3) na1[c] + atp[c] + h2o[c],0.0,1000,0.0,1000,
CM5HBCMT,com[c] + m5hbc[c] <==> mcom[c] + 5hbc_red[c] + h[c],-1000.0,1000,-1000.0,1000,
CODH2,co[c] + (2) fdox[c] + h2o[c] <==> co2[c] + (2) fdred[c] + (2) h[c],0.0,1000,0.0,1000,
CODH2_SIDERXN,co[c] + h2o[c] <==> for[c] + h[c],0.0,1000,0.0,1000,
CODH3,co[c] + coa[c] + mh4spt[c] <==> h4spt[c] + accoa[c],0.0,1000,0.0,1000,
CODHr,accoa[c] + (2) fdox[c] + h2o[c] + h4spt[c] <==> co2[c] + coa[c] + (2) fdred[c] + (2) h[c] + mh4spt[c],-1000.0,1000,-1000.0,1000,
DMAMT,dma[c] + h[c] + 5hbc_red[c] <==> mma[c] + m5hbc[c],0.0,1000,0.0,1000,
F4D,f420-2h2[c] + mphen[c] <==> f420-2[c] + (1) h[e] + mphenh2[c],0.0,1000,0.0,1000,
F4MTSPD,f420-2h2[c] + menylh4spt[c] <==> f420-2[c] + (2) h[c] + mleneh4spt[c],-1000.0,1000,-1000.0,1000,
F4MTSPR,f420-2h2[c] + mleneh4spt[c] <==> f420-2[c] + mh4spt[c] + h[c],-1000.0,1000,-1000.0,1000,
FAE,fald[c] + h4spt[c] <==> mleneh4spt[c] + h2o[c],0.0,1000,0.0,1000,
FMFD_b_,co2[c] + (2) fdred[c] + (2) h[c] + mfr_b[c] <==> (2) fdox[c] + formmfr_b[c] + h2o[c],-1000.0,1000,-1000.0,1000,
FMFTSPFT_b_,formmfr_b[c] + h4spt[c] <==> formh4spt[c] + mfr_b[c],-1000.0,1000,-1000.0,1000,
HDR,hsfd[c] + mphenh2[c] + (2) h[c] <==> cob[c] + com[c] + (2) h[e] + mphen[c],0.0,1000,0.0,0,
HDR-2,(4) fdred[c] + f420-2[c] + hsfd[c] + (5) h[c] <==> (4) fdox[c] + com[c] + cob[c] + f420-2h2[c],0.0,1000,0.0,0,
MCMMT,meoh[c] + 5hbc_red[c] + h[c] <==> h2o[c] + m5hbc[c],0.0,1000,-1000.0,1000,
MCR,cob[c] + mcom[c] <==> ch4[c] + hsfd[c],0.0,1000,0.0,0,
MMAMT,h[c] + mma[c] + 5hbc_red[c] <==> nh4[c] + m5hbc[c],0.0,1000,0.0,1000,
MSS,h2s[c] + m5hbc[c] <==> ch4s[c] + 5hbc_red[c] + h[c],0.0,1000,0.0,1000,
MTCMMT,dms[c] + h[c] + 5hbc_red[c] <==> ch4s[c] + m5hbc[c],-1000.0,1000,-1000.0,1000,
MTR_BYPASS,h[c] + mh4spt[c] + 5hbc_red[c] <==> h4spt[c] + m5hbc[c],0.0,1000,0.0,0,
MTSPC,formh4spt[c] + h[c] <==> h2o[c] + menylh4spt[c],-1000.0,1000,-1000.0,1000,
MTSPCMMT,h[c] + mh4spt[c] + 5hbc_red[c] + (2) na1[c] <==> h4spt[c] + m5hbc[c] + (2) na1[e],-1000.0,1000,-1000.0,1000,
PTAr,accoa[c] + pi[c] <==> actp[c] + coa[c],-1000.0,1000,-1000.0,1000,
RNF,(4) na1[c] + (2) fdred[c] + (2) h[c] + mphen[c] <==> (4) na1[e] + (2) fdox[c] + mphenh2[c],0.0,1000,0.0,1000,
TMAMT,tma[c] + 5hbc_red[c] + h[c] <==> dma[c] + m5hbc[c],0.0,1000,0.0,1000,
FRNR,(2) fdred[c] + h[c] + nadp[c] <==> (2) fdox[c] + nadph[c],0.0,1000,0.0,0,
F4NR,(1) f420-2h2[c] + nadp[c] <==> (1) f420-2[c] + nadph[c] + (2) h[c],-1000.0,1000,-1000.0,1000,
AHC,ahcys[c] + h2o[c] <==> adn[c] + hcys-L[c],0.0,1000,0.0,1000,
AHSERL2,achms[c] + h2s[c] <==> ac[c] + h[c] + hcys-L[c],0.0,1000,0.0,1000,
HSERTA,accoa[c] + hom-L[c] <==> achms[c] + coa[c],0.0,1000,0.0,1000,
METAT,atp[c] + h2o[c] + met-L[c] <==> amet[c] + pi[c] + ppi[c],0.0,1000,0.0,1000,
METGL,h2o[c] + met-L[c] <==> 2obut[c] + ch4s[c] + nh4[c],0.0,1000,0.0,1000,
METS,5mthf[c] + hcys-L[c] <==> met-L[c] + thf[c],0.0,1000,0.0,1000,
METTRS,atp[c] + met-L[c] + trnamet[c] <==> amp[c] + ppi[c] + mettrna[c],0.0,1000,0.0,1000,
HCARNHYD,4abut[c] + his-L[c] + h[c] <==> h2o[c] + hcarn[c],0.0,1000,0.0,1000,
NTRIR2x,(5) h[c] + (3) nadh[c] + no2[c] <==> (2) h2o[c] + (3) nad[c] + nh4[c],0.0,1000,0.0,1000,
NTRIR2y,(5) h[c] + (3) nadph[c] + no2[c] <==> (2) h2o[c] + (3) nadp[c] + nh4[c],0.0,1000,0.0,1000,
ADD,ade[c] + h[c] + h2o[c] <==> hxan[c] + nh4[c],0.0,1000,0.0,1000,
ADK1,amp[c] + atp[c] <==> (2) adp[c],-1000.0,1000,-1000.0,1000,
ADK2,amp[c] + pppi[c] <==> adp[c] + ppi[c],-1000.0,1000,-1000.0,1000,
ADK3,amp[c] + gtp[c] <==> adp[c] + gdp[c],-1000.0,1000,-1000.0,1000,
ADK4,amp[c] + itp[c] <==> adp[c] + idp[c],-1000.0,1000,-1000.0,1000,
ADKd,damp[c] + datp[c] <==> (2) dadp[c],-1000.0,1000,-1000.0,1000,
ADNCYC,atp[c] <==> camp[c] + ppi[c],0.0,1000,0.0,1000,
ADNK1,adn[c] + atp[c] <==> adp[c] + amp[c] + h[c],0.0,1000,0.0,1000,
ADPT,amp[c] + ppi[c] <==> ade[c] + prpp[c],-1000.0,1000,-1000.0,1000,
ADSL2,25aics[c] <==> aicar[c] + fum[c],-1000.0,1000,-1000.0,1000,
AICART,10fthf[c] + aicar[c] <==> fprica[c] + thf[c],-1000.0,1000,-1000.0,1000,
AIRC2,air[c] + atp[c] + hco3[c] <==> adp[c] + h[c] + pi[c] + 5caiz[c],0.0,1000,0.0,1000,
AIRC3,5aizc[c] <==> 5caiz[c],-1000.0,1000,-1000.0,1000,
ATPFORTRX,aicar[c] + atp[c] + for[c] <==> adp[c] + fprica[c] + pi[c],0.0,1000,0.0,1000,
ATPHs,atp[c] + h[c] + h2o[c] <==> itp[c] + nh4[c],0.0,1000,0.0,1000,
CSND,csn[c] + h[c] + h2o[c] <==> nh4[c] + ura[c],0.0,1000,0.0,1000,
CTPS1,atp[c] + nh4[c] + utp[c] <==> adp[c] + ctp[c] + (2) h[c] + pi[c],0.0,1000,0.0,1000,
CTPS2,atp[c] + gln-L[c] + h2o[c] + utp[c] <==> adp[c] + ctp[c] + glu-L[c] + (2) h[c] + pi[c],0.0,1000,0.0,1000,
CYTDK1,atp[c] + cytd[c] <==> adp[c] + cmp[c] + h[c],0.0,1000,0.0,1000,
CYTDK3,itp[c] + cytd[c] <==> idp[c] + cmp[c] + h[c],0.0,1000,0.0,1000,
CYTK1,atp[c] + cmp[c] <==> adp[c] + cdp[c],-1000.0,1000,-1000.0,1000,
CYTK2,atp[c] + dcmp[c] <==> adp[c] + dcdp[c],-1000.0,1000,-1000.0,1000,
CYTK5,ctp[c] + dcmp[c] <==> cdp[c] + dcdp[c],-1000.0,1000,-1000.0,1000,
DADK,atp[c] + damp[c] <==> adp[c] + dadp[c],-1000.0,1000,-1000.0,1000,
DATPHs,datp[c] + h[c] + h2o[c] <==> ditp[c] + nh4[c],0.0,1000,0.0,1000,
DCMPDA,dcmp[c] + h[c] + h2o[c] <==> dump[c] + nh4[c],-1000.0,1000,-1000.0,1000,
DCTPD,dctp[c] + h[c] + h2o[c] <==> dutp[c] + nh4[c],0.0,1000,0.0,1000,
DHORD7,dhor-S[c] + f420-2[c] + h[c] <==> f420-2h2[c] + orot[c],-1000.0,1000,-1000.0,1000,
DHORTS,dhor-S[c] + h2o[c] <==> cbasp[c] + h[c],-1000.0,1000,-1000.0,1000,
DNADDP,dnad[c] + h2o[c] <==> amp[c] + (2) h[c] + nicrnt[c],0.0,1000,0.0,1000,
DTMPK,atp[c] + dtmp[c] <==> adp[c] + dtdp[c],-1000.0,1000,-1000.0,1000,
DURIPP,duri[c] + pi[c] <==> 2dr1p[c] + ura[c],0.0,1000,0.0,1000,
DUTPDP,dutp[c] + h2o[c] <==> dump[c] + h[c] + ppi[c],0.0,1000,0.0,1000,
GARFT,10fthf[c] + gar[c] <==> fgam[c] + h[c] + thf[c],0.0,1000,0.0,1000,
GK1,atp[c] + gmp[c] <==> adp[c] + gdp[c],-1000.0,1000,-1000.0,1000,
GMPS,atp[c] + nh4[c] + xmp[c] <==> amp[c] + gmp[c] + (2) h[c] + ppi[c],0.0,1000,0.0,1000,
GSNK,atp[c] + gsn[c] <==> adp[c] + gmp[c] + h[c],0.0,1000,0.0,1000,
GTPCHIII,gtp[c] + (3) h2o[c] <==> fapy[c] + (2) pi[c] + (2) h[c],0.0,1000,0.0,1000,
GTPCHIV,gtp[c] + h2o[c] <==> for[c] + ppi[c] + dhp23cp[c],0.0,1000,0.0,1000,
GTPHs,gtp[c] + h[c] + h2o[c] <==> nh4[c] + xtp[c],0.0,1000,0.0,1000,
GUACYC,gtp[c] <==> 35cgmp[c] + ppi[c],0.0,1000,0.0,1000,
GUAD,gua[c] + h[c] + h2o[c] <==> nh4[c] + xan[c],0.0,1000,0.0,1000,
GUAPRT,gmp[c] + ppi[c] <==> gua[c] + prpp[c],-1000.0,1000,-1000.0,1000,
HXPRT,hxan[c] + prpp[c] <==> imp[c] + ppi[c],0.0,1000,0.0,1000,
IMPC,h2o[c] + imp[c] <==> fprica[c],-1000.0,1000,-1000.0,1000,
IMPD,h2o[c] + imp[c] + nad[c] <==> h[c] + nadh[c] + xmp[c],0.0,1000,0.0,1000,
INSK,atp[c] + ins[c] <==> adp[c] + h[c] + imp[c],0.0,1000,0.0,1000,
MTAP,5mta[c] + pi[c] <==> 5mdr1p[c] + ade[c],0.0,1000,0.0,1000,
MTRI,5mdr1p[c] <==> 5mdru1p[c],0.0,1000,0.0,1000,
NDPK1,atp[c] + gdp[c] <==> adp[c] + gtp[c],-1000.0,1000,-1000.0,1000,
NDPK10,atp[c] + didp[c] <==> adp[c] + ditp[c],0.0,1000,0.0,1000,
NDPK2,atp[c] + udp[c] <==> adp[c] + utp[c],-1000.0,1000,-1000.0,1000,
NDPK3,atp[c] + cdp[c] <==> adp[c] + ctp[c],-1000.0,1000,-1000.0,1000,
NDPK4,atp[c] + dtdp[c] <==> adp[c] + dttp[c],-1000.0,1000,-1000.0,1000,
NDPK5,atp[c] + dgdp[c] <==> adp[c] + dgtp[c],-1000.0,1000,-1000.0,1000,
NDPK6,atp[c] + dudp[c] <==> adp[c] + dutp[c],-1000.0,1000,-1000.0,1000,
NDPK7,atp[c] + dcdp[c] <==> adp[c] + dctp[c],-1000.0,1000,-1000.0,1000,
NDPK8,atp[c] + dadp[c] <==> adp[c] + datp[c],-1000.0,1000,-1000.0,1000,
NDPK9,atp[c] + idp[c] <==> adp[c] + itp[c],-1000.0,1000,-1000.0,1000,
NTD1,dump[c] + h2o[c] <==> duri[c] + pi[c],0.0,1000,0.0,1000,
NTD10,h2o[c] + xmp[c] <==> pi[c] + xtsn[c],0.0,1000,0.0,1000,
NTD11,h2o[c] + imp[c] <==> ins[c] + pi[c],0.0,1000,0.0,1000,
NTD2,h2o[c] + ump[c] <==> pi[c] + uri[c],0.0,1000,0.0,1000,
NTD3,dcmp[c] + h2o[c] <==> dcyt[c] + pi[c],0.0,1000,0.0,1000,
NTD4,cmp[c] + h2o[c] <==> cytd[c] + pi[c],0.0,1000,0.0,1000,
NTD5,dtmp[c] + h2o[c] <==> pi[c] + thymd[c],0.0,1000,0.0,1000,
NTD6,damp[c] + h2o[c] <==> dad-2[c] + pi[c],0.0,1000,0.0,1000,
NTD7,amp[c] + h2o[c] <==> adn[c] + pi[c],0.0,1000,0.0,1000,
NTD8,dgmp[c] + h2o[c] <==> dgsn[c] + pi[c],0.0,1000,0.0,1000,
NTD9,gmp[c] + h2o[c] <==> gsn[c] + pi[c],0.0,1000,0.0,1000,
NTP1,atp[c] + h2o[c] <==> adp[c] + h[c] + pi[c],0.0,1000,0.0,1000,
NTP2,datp[c] + h2o[c] <==> dadp[c] + h[c] + pi[c],0.0,1000,0.0,1000,
NTP3,gtp[c] + h2o[c] <==> gdp[c] + h[c] + pi[c],0.0,1000,0.0,1000,
NTP4,dgtp[c] + h2o[c] <==> dgdp[c] + h[c] + pi[c],0.0,1000,0.0,1000,
NTP5,ctp[c] + h2o[c] <==> cdp[c] + h[c] + pi[c],0.0,1000,0.0,1000,
NTP6,dctp[c] + h2o[c] <==> dcdp[c] + h[c] + pi[c],0.0,1000,0.0,1000,
NTP7,h2o[c] + utp[c] <==> h[c] + pi[c] + udp[c],0.0,1000,0.0,1000,
NTP8,dutp[c] + h2o[c] <==> dudp[c] + h[c] + pi[c],0.0,1000,0.0,1000,
NTP9,dttp[c] + h2o[c] <==> dtdp[c] + h[c] + pi[c],0.0,1000,0.0,1000,
NTPP11,h2o[c] + xtp[c] <==> h[c] + ppi[c] + xmp[c],0.0,1000,0.0,1000,
NTPTP1,dgtp[c] + h2o[c] <==> dgsn[c] + pppi[c],0.0,1000,0.0,1000,
OMPDC,h[c] + orot5p[c] <==> co2[c] + ump[c],0.0,1000,0.0,1000,
ORPT,orot5p[c] + ppi[c] <==> orot[c] + prpp[c],-1000.0,1000,-1000.0,1000,
PPKr,atp[c] + pi[c] <==> ppi[c] + adp[c],-1000.0,1000,-1000.0,1000,
PRAGSr,atp[c] + gly[c] + pram[c] <==> adp[c] + gar[c] + h[c] + pi[c],0.0,1000,0.0,1000,
PRAIS,atp[c] + fpram[c] <==> adp[c] + air[c] + (2) h[c] + pi[c],0.0,1000,0.0,1000,
PRASCS,5aizc[c] + asp-L[c] + atp[c] <==> 25aics[c] + adp[c] + h[c] + pi[c],-1000.0,1000,-1000.0,1000,
PRFGS,atp[c] + fgam[c] + gln-L[c] + h2o[c] <==> adp[c] + fpram[c] + glu-L[c] + h[c] + pi[c],0.0,1000,0.0,1000,
RNDR1,adp[c] + trdrd[c] <==> dadp[c] + h2o[c] + trdox[c],0.0,1000,0.0,1000,
RNDR2,gdp[c] + trdrd[c] <==> dgdp[c] + h2o[c] + trdox[c],0.0,1000,0.0,1000,
RNDR3,cdp[c] + trdrd[c] <==> dcdp[c] + h2o[c] + trdox[c],0.0,1000,0.0,1000,
RNDR4,trdrd[c] + udp[c] <==> dudp[c] + h2o[c] + trdox[c],0.0,1000,0.0,1000,
RNTR1,atp[c] + trdrd[c] <==> datp[c] + h2o[c] + trdox[c],0.0,1000,0.0,1000,
RNTR2,gtp[c] + trdrd[c] <==> dgtp[c] + h2o[c] + trdox[c],0.0,1000,0.0,1000,
RNTR3,ctp[c] + trdrd[c] <==> dctp[c] + h2o[c] + trdox[c],0.0,1000,0.0,1000,
RNTR4,trdrd[c] + utp[c] <==> dutp[c] + h2o[c] + trdox[c],0.0,1000,0.0,1000,
TMDK1,atp[c] + thymd[c] <==> adp[c] + dtmp[c] + h[c],0.0,1000,0.0,1000,
TMDPP,pi[c] + thymd[c] <==> 2dr1p[c] + thym[c],0.0,1000,0.0,1000,
TMDS,dump[c] + mlthf[c] <==> dhf[c] + dtmp[c],0.0,1000,0.0,1000,
TRDR,h[c] + nadph[c] + trdox[c] <==> nadp[c] + trdrd[c],0.0,1000,0.0,1000,
UMPK,atp[c] + ump[c] <==> adp[c] + udp[c],-1000.0,1000,-1000.0,1000,
